Days,Confirmed_Total,Death_Total
1,130,2
2,191,3
3,204,4
4,285,4
5,377,6
6,653,9
7,949,11
8,1126,19
9,1209,19
10,1784,33
11,2281,48
12,2281,48
13,3661,79
14,4469,91
15,4499,91
16,6633,148
17,7652,148
18,9043,148
19,10871,243
20,12612,450
21,14282,562
22,16018,674
23,19874,860
24,22304,1100
25,25344,1331
26,29290,1696
27,33109,1995
28,37860,2316
29,40463,2610
30,44880,3028
31,52617,3530
32,57530,4041
33,59795,5397
34,65060,6519
35,90700,7572
36,93614,8091
37,98792,8924
38,109889,10341
39,113774,10885
40,118590,12226
41,125740,13213
42,130536,13849
43,133474,14410
44,137677,14984
45,131163,15746
46,134381,17186
47,146890,17939
48,148919,18701
49,148936,19343
50,153884,19742
51,156265,20289
52,159082,20826
53,156908,21370
54,159340,21887
55,159832,22276
56,161524,22645
57,162100,22887
