Days,Confirmed_Total,Death_Total
1,130,0
2,159,0
3,196,0
4,262,0
5,482,0
6,670,0
7,799,0
8,1040,0
9,1176,2
10,1457,2
11,1908,3
12,2078,3
13,3675,7
14,4585,9
15,5795,11
16,7272,17
17,9257,24
18,12327,28
19,15320,44
20,19848,67
21,22213,84
22,24873,94
23,29056,123
24,32986,157
25,37323,206
26,43938,267
27,50871,342
28,57695,433
29,62095,533
30,66885,645
31,71808,775
32,77872,920
33,84794,1107
34,91159,1275
35,96092,1444
36,100123,1584
37,103374,1810
38,107663,2016
39,113296,2349
40,118181,2607
41,122171,2767
42,124908,2736
43,127854,3022
44,130072,3194
45,131359,3294
46,134753,3804
47,137698,4052
48,141397,4352
49,143342,4459
50,145184,4586
51,147065,4862
52,148291,5033
53,150648,5279
54,153129,5575
55,154999,5760
56,156513,5877
57,157770,5976
