Days,Confirmed_Total,Death_Total
1,155,3
2,229,7
3,322,10
4,453,12
5,655,17
6,888,21
7,1128,29
8,1694,34
9,2036,52
10,2502,79
11,3089,107
12,3858,148
13,4636,197
14,5883,233
15,7375,366
16,9172,463
17,10149,631
18,12462,827
19,12462,827
20,17660,1266
21,21157,1441
22,24747,1809
23,27980,2158
24,31506,2503
25,35713,2978
26,41035,3405
27,47021,4032
28,53578,4825
29,59138,5476
30,63927,6077
31,69176,6820
32,74386,7503
33,80589,8215
34,86498,9134
35,92472,10023
36,97689,10779
37,101739,11591
38,105792,12428
39,110574,13155
40,115242,13915
41,119827,14681
42,124632,15362
43,128948,15887
44,132547,16523
45,135586,17127
46,139422,17669
47,143626,18279
48,147577,18849
49,152271,19468
50,156363,19899
51,159516,20465
52,162488,21067
53,165155,21645
54,168941,22170
55,172434,22745
56,175925,23227
57,178972,23660
58,181228,24114
59,183957,24648
60,187327,25085
61,189973,25549
62,192994,25969
63,195351,26384
64,197675,26644
