Days,Confirmed_Total,Death_Total
1,120,0
2,165,1
3,222,2
4,259,3
5,400,5
6,500,10
7,673,17
8,1073,28
9,1695,35
10,2277,54
11,2277,55
12,5232,133
13,6391,195
14,7798,289
15,9942,342
16,11748,533
17,13910,623
18,17963,830
19,20410,1043
20,25374,1375
21,28603,1756
22,35136,2311
23,39885,2808
24,49515,3647
25,57786,4365
26,65719,5138
27,73235,5982
28,80110,6803
29,87956,7716
30,95923,8464
31,104118,9387
32,112065,10348
33,119199,11198
34,126168,11947
35,131646,12641
36,136675,13341
37,141942,14045
38,148220,14792
39,153222,15447
40,158273,16081
41,163027,16606
42,166831,17209
43,170099,17756
44,172541,18056
45,177644,18708
46,184948,19315
47,190839,20002
48,191726,20043
49,198674,20453
50,200210,20852
51,204178,21282
52,208389,21717
53,213024,22157
54,219764,22524
55,223759,22902
56,226629,23190
