Days,Confirmed_Total,Death_Total
1,115,1
2,163,2
3,206,2
4,273,3
5,321,4
6,382,6
7,456,8
8,456,8
9,798,8
10,1140,21
11,1140,21
12,1543,55
13,1950,55
14,2626,71
15,2689,137
16,3983,177
17,5018,233
18,5683,281
19,6650,335
20,8077,422
21,9529,465
22,11658,578
23,14543,759
24,17089,1019
25,19630,1230
26,22282,1410
27,25291,1792
28,29646,2355
29,33911,2924
30,38514,3610
31,42291,4319
32,48345,4941
33,52179,5381
34,55840,6167
35,61362,7106
36,65751,7987
37,74484,8968
38,79753,9886
39,85067,10623
40,89428,11340
41,94696,12122
42,99310,12887
43,103965,13752
44,109585,14600
45,115130,15491
46,120985,16087
47,125663,16542
48,129979,17370
49,134432,18143
50,139039,18783
51,144428,19558
52,149455,20377
53,153923,20790
