Date,Tested_Case,Tested_Person,Confirmed,Positive_Rate,Death,Mortality_Rate,Confirmed_Total,Death_Total
2020-03-05,,,,,,,115,0
2020-03-06,,,48.0,,1.0,2.08,163,1
2020-03-07,,,43.0,,1.0,2.33,206,2
2020-03-08,,,67.0,,0.0,0.0,273,2
2020-03-09,,,46.0,,1.0,2.17,319,3
2020-03-10,,,54.0,,4.0,7.41,373,7
2020-03-11,,,83.0,,0.0,0.0,456,7
2020-03-12,,,134.0,,2.0,1.49,590,9
2020-03-13,,,208.0,,1.0,0.48,798,10
2020-03-14,,,342.0,,18.0,5.26,1140,28
2020-03-15,,,232.0,,15.0,6.47,1372,43
2020-03-16,,,171.0,,22.0,12.87,1543,65
2020-03-17,,,407.0,,16.0,3.93,1950,81
2020-03-18,,,676.0,,34.0,5.03,2626,115
2020-03-19,,,643.0,,43.0,6.69,3269,158
2020-03-20,,,714.0,,36.0,5.04,3983,194
2020-03-21,,,1035.0,,56.0,5.41,5018,250
2020-03-22,,,665.0,,35.0,5.26,5683,285
2020-03-23,,,967.0,,74.0,7.65,6650,359
2020-03-24,,,1427.0,,149.0,10.44,8077,508
2020-03-25,,,1452.0,,186.0,12.81,9529,694
2020-03-26,,,2129.0,,183.0,8.6,11658,877
2020-03-27,,,2885.0,,284.0,9.84,14543,1161
2020-03-28,,,2546.0,,294.0,11.55,17089,1455
2020-03-29,,,2433.0,,214.0,8.8,19522,1669
2020-03-30,,,2619.0,,374.0,14.28,22141,2043
2020-03-31,,,3009.0,,382.0,12.7,25150,2425
2020-04-01,,,4324.0,,670.0,15.49,29474,3095
2020-04-02,,,4244.0,,652.0,15.36,33718,3747
2020-04-03,,,4450.0,,714.0,16.04,38168,4461
2020-04-04,,,3735.0,,760.0,20.35,41903,5221
2020-04-05,,,5903.0,,644.0,10.91,47806,5865
2020-04-06,,,3802.0,,568.0,14.94,51608,6433
2020-04-07,,,3634.0,,1038.0,28.56,55242,7471
2020-04-08,15380.0,19527.0,5491.0,28.12,1034.0,18.83,60733,8505
2020-04-09,16095.0,10713.0,4344.0,40.55,1103.0,25.39,65077,9608
2020-04-10,18667.0,13184.0,8681.0,65.84,1152.0,13.27,73758,10760
2020-04-11,18138.0,12993.0,5233.0,40.28,839.0,16.03,78991,11599
2020-04-12,15601.0,12776.0,5288.0,41.39,686.0,12.97,84279,12285
2020-04-13,17092.0,8346.0,4342.0,52.02,744.0,17.13,88621,13029
2020-04-14,14983.0,11879.0,5252.0,44.21,1044.0,19.88,93873,14073
2020-04-15,16266.0,11170.0,4603.0,41.21,842.0,18.29,98476,14915
2020-04-16,18733.0,13839.0,4617.0,33.36,1029.0,22.29,103093,15944
2020-04-17,21342.0,13943.0,5599.0,40.16,935.0,16.7,108692,16879
2020-04-18,21446.0,15472.0,5525.0,35.71,1115.0,20.18,114217,17994
2020-04-19,21626.0,15944.0,5847.0,36.67,498.0,8.52,120064,18492
2020-04-20,19316.0,13077.0,4679.0,35.78,559.0,11.95,124743,19051
2020-04-21,33963.0,11626.0,4301.0,36.99,1172.0,27.25,129044,20223
2020-04-22,24593.0,13522.0,4451.0,32.92,837.0,18.8,133495,21060
2020-04-23,23561.0,14629.0,4583.0,31.33,727.0,15.86,138078,21787
2020-04-24,28535.0,18401.0,5386.0,29.27,1005.0,18.66,143464,22792
2020-04-25,28761.0,73614.0,4913.0,6.67,843.0,17.16,148377,23635
2020-04-26,29058.0,25577.0,4463.0,17.45,420.0,9.41,152840,24055
2020-04-27,50060.0,26355.0,4309.0,16.35,338.0,7.84,157149,24393
2020-04-28,43477.0,29571.0,3996.0,13.51,909.0,22.75,161145,25302
2020-04-29,55152.0,33455.0,4076.0,12.18,795.0,19.5,165221,26097
2020-04-30,83366.0,54575.0,6032.0,11.05,674.0,11.17,171253,26771
2020-05-01,121919.0,74910.0,6201.0,8.28,739.0,11.92,177454,27510
2020-05-02,106083.0,63667.0,4806.0,7.55,621.0,12.92,182260,28131
2020-05-03,76498.0,56397.0,4339.0,7.69,315.0,7.26,186599,28446
2020-05-04,177437.0,132795.0,8391.0,6.32,981.0,11.69,194990,29427
2020-05-05,64168.0,57006.0,6111.0,10.72,649.0,10.62,201101,30076
